Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Two Ways For Lovers,Chapter 44,"May 25,21",2,180.0,manganelo.com,0.28783345222473145,https://manganelo.com/manga/qz926409,"Drama,Romance,Slice of life,Webtoons,Manhua",Ongoing,3.71,https://avt.mkklcdnv6temp.com/7/a/24-1619023795.jpg
Do You Like Big Juniors?,Chapter 43,"May 25,21",2,180.0,manganelo.com,0.2858409881591797,https://manganelo.com/manga/bq920461,"Comedy,Ecchi,Romance,Shounen,Slice of life",Ongoing,4.66,https://avt.mkklcdnv6temp.com/19/s/19-1583499868.jpg
Dokuzakura,Chapter 26,"May 25,21",2,180.0,manganelo.com,0.30658864974975586,https://manganelo.com/manga/ql920170,"Drama,Ecchi,Harem,Psychological,Seinen,Supernatural",Ongoing,4.38,https://avt.mkklcdnv6temp.com/9/b/19-1583499431.jpg
Isekai Shihai No Skill Taker: Zero Kara Hajimeru Dorei Harem,Chapter 76,"May 25,21",2,180.0,manganelo.com,0.30608582496643066,https://manganelo.com/manga/isekai_shihai_no_skill_taker_zero_kara_hajimeru_dorei_harem,"Action,Adventure,Comedy,Ecchi,Fantasy,Harem,Mature,Shounen,Supernatural",Ongoing,4.15,https://avt.mkklcdnv6temp.com/22/a/14-1583490535.jpg
Reincarnation Cycle,Chapter 121,"May 25,21",2,180.0,manganelo.com,0.3257107734680176,https://manganelo.com/manga/jt925040,"Action,Adventure,Comedy,Fantasy,Historical",Ongoing,3.65,https://avt.mkklcdnv6temp.com/50/q/22-1609689677.jpg
Maiko-San Chi No Makanai-San,Chapter 196,"May 25,21",2,180.0,manganelo.com,0.3017423152923584,https://manganelo.com/manga/maikosan_chi_no_makanaisan,"Shounen,Slice of life",Ongoing,4.71,https://avt.mkklcdnv6temp.com/25/b/15-1583492356.jpg
Burning Kabaddi,Chapter 7: Towards A Burning World,"May 25,21",2,180.0,manganelo.com,0.524254322052002,https://manganelo.com/manga/qo923751,Sports,Ongoing,4.6,https://avt.mkklcdnv6temp.com/48/c/21-1597308508.jpg
Great Doctor Ling Ran,Chapter 26,"May 25,21",2,180.0,manganelo.com,0.24633479118347168,https://manganelo.com/manga/zb925796,"Action,Adventure",Ongoing,4.81,https://avt.mkklcdnv6temp.com/31/n/23-1613973606.jpg
Dark Gathering,Chapter 13,"May 25,21",2,180.0,manganelo.com,0.25794291496276855,https://manganelo.com/manga/gu919735,"Horror,Shounen,Supernatural",Ongoing,4.69,https://avt.mkklcdnv6temp.com/42/z/18-1583498765.jpg
One Step Toward Freedom,Chapter 176,"May 24,21",2,180.0,manganelo.com,0.25984835624694824,https://manganelo.com/manga/yd921205,"Action,Adventure,Comedy,Webtoons",Ongoing,4.28,https://avt.mkklcdnv6temp.com/47/l/19-1583500902.jpg
I Am The Precious Daughter Of The Greatest Villain In The Fantasy World,Chapter 28,"May 25,21",2,180.0,manganelo.com,0.2615504264831543,https://manganelo.com/manga/ce926193,"Fantasy,Historical,Romance,Webtoons",Ongoing,4.89,https://avt.mkklcdnv6temp.com/48/e/23-1617244667.jpg
Hitomi-Chan Is Shy With Strangers,Chapter 60,"May 25,21",2,180.0,manganelo.com,0.24941754341125488,https://manganelo.com/manga/zw918006,"Comedy,Romance,School life,Shounen,Slice of life",Ongoing,4.79,https://avt.mkklcdnv6temp.com/30/b/17-1583496342.jpg
